x_font_size;button_size;button_distance;button_hue;button_saturation
53;59;533;0.140;0.443
26;87;738;0.816;0.050
20;108;533;0.283;0.284
57;49;558;0.637;0.506
48;87;612;0.534;0.112
19;97;642;0.949;0.435
40;72;540;0.814;0.369
29;116;663;0.202;0.840
47;77;578;0.780;0.442
25;78;668;0.386;0.167
