x_font_size;button_size;button_distance;button_hue;button_saturation
26;51;687;0.767;0.562
58;76;630;0.110;0.698
60;72;705;0.109;0.819
61;85;548;0.931;0.749
48;87;617;0.023;0.523
55;109;496;0.682;0.898
56;63;553;0.753;0.196
58;94;658;0.705;0.779
19;99;496;0.604;0.968
39;103;749;0.034;0.989
